IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
KORDULA,KOBIETA,459
NASTASSIA,KOBIETA,457
TAMILA,KOBIETA,455
YAEL,KOBIETA,453
ALOJZJA,KOBIETA,452
DZIYANA,KOBIETA,446
LAYLA,KOBIETA,446
ARIADNA,KOBIETA,446
LIZA,KOBIETA,439
ANIDA,KOBIETA,437
ANGELICA,KOBIETA,435
CHRISTINE,KOBIETA,431
JACQUELINE,KOBIETA,428
LUDGARDA,KOBIETA,427
VALIANTSINA,KOBIETA,425
VITALIIA,KOBIETA,424
VALERIA,KOBIETA,423
CHIARA,KOBIETA,420
NINO,KOBIETA,418
JASMINE,KOBIETA,417
KSYMENA,KOBIETA,417
ISMENA,KOBIETA,417
FLORIANNA,KOBIETA,414
ANDŻELINA,KOBIETA,411
EMILIIA,KOBIETA,410
JELENA,KOBIETA,409
ZEFIRYNA,KOBIETA,407
KONSTANTYNA,KOBIETA,400
EUZEBIA,KOBIETA,400
MARGARET,KOBIETA,400
CHRISTINA,KOBIETA,399
ULYANA,KOBIETA,399
BETINA,KOBIETA,398
KAMILIA,KOBIETA,398
KAROLA,KOBIETA,398
JESICA,KOBIETA,395
LAURENCJA,KOBIETA,394
IANA,KOBIETA,394
SYLWINA,KOBIETA,393
ZBIGNIEWA,KOBIETA,392
TINA,KOBIETA,392
ZOYA,KOBIETA,390
GAIA,KOBIETA,390
FELICYTA,KOBIETA,387
MATILDA,KOBIETA,386
KLOTYLDA,KOBIETA,386
IWETTA,KOBIETA,385
LUNA,KOBIETA,385
DEBORA,KOBIETA,384
SAMIRA,KOBIETA,383
ISABELLE,KOBIETA,383
HIACYNTA,KOBIETA,383
AMY,KOBIETA,382
LUDOMIŁA,KOBIETA,382
ANDRIANA,KOBIETA,380
JOHANNA,KOBIETA,380
MARIJA,KOBIETA,378
GRACJA,KOBIETA,374
STEPHANIE,KOBIETA,372
OXANA,KOBIETA,372
MICHAL,KOBIETA,371
AIDA,KOBIETA,370
AŁŁA,KOBIETA,370
IWETA,KOBIETA,369
RUT,KOBIETA,367
YARYNA,KOBIETA,367
IRENE,KOBIETA,363
YULIA,KOBIETA,363
CHLOE,KOBIETA,362
PAOLA,KOBIETA,362
ISABEL,KOBIETA,362
YELIZAVETA,KOBIETA,360
FRANCESCA,KOBIETA,360
NELLI,KOBIETA,360
YAUHENIYA,KOBIETA,359
RACHELA,KOBIETA,357
ANNE,KOBIETA,354
NICOLETTA,KOBIETA,354
LILLI,KOBIETA,354
NADINE,KOBIETA,353
LESYA,KOBIETA,352
MARY,KOBIETA,352
ZYGFRYDA,KOBIETA,348
AMELIE,KOBIETA,347
LUCY,KOBIETA,345
THI,KOBIETA,345
HILARIA,KOBIETA,344
TADEUSZA,KOBIETA,344
ARIANNA,KOBIETA,344
ŻANNA,KOBIETA,343
FRIEDA,KOBIETA,343
JULIE,KOBIETA,340
RACHEL,KOBIETA,339
EMILIE,KOBIETA,335
KESJA,KOBIETA,334
ROZA,KOBIETA,332
HILDEGARD,KOBIETA,332
MIRONA,KOBIETA,331
ANDRZELIKA,KOBIETA,330
ELIZAVETA,KOBIETA,326
NATALYA,KOBIETA,325
KRYSPINA,KOBIETA,323
SOFIJA,KOBIETA,323
LUISA,KOBIETA,322
NADIEŻDA,KOBIETA,322
INGRYDA,KOBIETA,322
ROSA,KOBIETA,318
ANIA,KOBIETA,318
LUBOMIŁA,KOBIETA,316
LUDMILA,KOBIETA,314
ELIANA,KOBIETA,314
YASMIN,KOBIETA,313
LARISSA,KOBIETA,310
WALTRAUD,KOBIETA,310
LEOPOLDA,KOBIETA,310
DORIS,KOBIETA,309
CARLA,KOBIETA,308
SHARON,KOBIETA,308
ELENI,KOBIETA,307
LEYLA,KOBIETA,305
VLADA,KOBIETA,303
WALTRAUT,KOBIETA,303
INESA,KOBIETA,301
ASTRID,KOBIETA,300
BOGDA,KOBIETA,297
URSULA,KOBIETA,295
NASTIA,KOBIETA,294
CAMILLA,KOBIETA,294
SONJA,KOBIETA,293
MEGAN,KOBIETA,292
ADI,KOBIETA,292
RENA,KOBIETA,291
VIVIENNE,KOBIETA,290
MADINA,KOBIETA,289
ORYSIA,KOBIETA,289
YULIANA,KOBIETA,289
ERWINA,KOBIETA,288
KRYSTIANA,KOBIETA,285
NASTAZJA,KOBIETA,285
SUSANNE,KOBIETA,284
LORENA,KOBIETA,283
MIKA,KOBIETA,283
ELIGIA,KOBIETA,281
ALESSANDRA,KOBIETA,281
ARLENA,KOBIETA,281
CORNELIA,KOBIETA,280
ALODIA,KOBIETA,280
HELEN,KOBIETA,279
EDITH,KOBIETA,278
KATIA,KOBIETA,278
AISHA,KOBIETA,277
MARGOTA,KOBIETA,276
AMIRA,KOBIETA,276
PETRA,KOBIETA,275
MALIKA,KOBIETA,274
ANJA,KOBIETA,274
SWITŁANA,KOBIETA,273
EDELTRAUD,KOBIETA,272
LUCJANA,KOBIETA,271
ARYNA,KOBIETA,270
INGEBORG,KOBIETA,270
EDWINA,KOBIETA,269
DOLORES,KOBIETA,269
KARMEN,KOBIETA,269
LYDIA,KOBIETA,268
ANATOLIA,KOBIETA,268
INHA,KOBIETA,267
ROBERTA,KOBIETA,267
WIEŃCZYSŁAWA,KOBIETA,266
ALESSIA,KOBIETA,265
LEONIDA,KOBIETA,265
CAMILA,KOBIETA,263
LIDIYA,KOBIETA,263
RAFAELA,KOBIETA,262
GERTRUD,KOBIETA,262
ROSE,KOBIETA,262
ECATERINA,KOBIETA,261
PARASKIEWA,KOBIETA,260
ESTHER,KOBIETA,260
SUSAN,KOBIETA,256
REBECCA,KOBIETA,255
GRACE,KOBIETA,255
DORA,KOBIETA,253
FABIOLA,KOBIETA,252
KATARINA,KOBIETA,251
FRIDA,KOBIETA,251
FATMA,KOBIETA,249
LEAH,KOBIETA,248
KONRADA,KOBIETA,248
CYNTHIA,KOBIETA,247
WISŁAWA,KOBIETA,247
PAULINE,KOBIETA,246
ELMIRA,KOBIETA,245
SOFIE,KOBIETA,244
KATRIN,KOBIETA,244
KAMELIA,KOBIETA,244
ANAT,KOBIETA,243
MARYAM,KOBIETA,241
ANZELMA,KOBIETA,240
SYNTIA,KOBIETA,240
CHANTAL,KOBIETA,238
HENRIETA,KOBIETA,237
ZINA,KOBIETA,236
EDELTRAUT,KOBIETA,236
YVONNE,KOBIETA,236
ZOSIA,KOBIETA,235
TAL,KOBIETA,235
MARGARYTA,KOBIETA,233
TEREZA,KOBIETA,230
FLORA,KOBIETA,227
MARYANA,KOBIETA,226
NADJA,KOBIETA,226
HANNELORE,KOBIETA,225
KOLETA,KOBIETA,223
AGATHA,KOBIETA,222
GABRIELLE,KOBIETA,222
